opportunity_id,deal_amount,discount_pct,stage,days_in_stage,region,product,probability,expected_revenue,anomaly_score,is_anomaly
29,41342.15,15.6,Closed Lost,61,Unknown,Analytics,0.42,17363.703,0.1266594029677358,False
30,17156.21,15.3,Prospecting,88,Unknown,Analytics,0.8,13724.968,0.1500928451179276,False
31,14107.59,16.2,Qualified,52,LATAM,VAS,0.88,12414.6792,0.13372984936364252,False
32,41918.48,9.7,Closed Lost,85,LATAM,Analytics,0.85,35630.708,0.08168112654347359,False
33,8179.24,17.0,Negotiation,28,APAC,Core Payments,0.47,3844.2428,0.11917860867625618,False
34,30371.43,9.5,Negotiation,99,Unknown,Analytics,0.36,10933.7148,0.13351486376089589,False
35,6382.73,12.4,Prospecting,94,Unknown,VAS,0.65,4148.7745,0.1157865684218744,False
36,14804.77,21.3,Closed Lost,45,Unknown,Core Payments,0.63,9327.0051,0.11152128084585466,False
37,10694.32,13.8,Closed Lost,14,EMEA,Risk Solutions,0.33,3529.1256,0.12110688401681469,False
38,52954.34,6.2,Closed Lost,32,LATAM,Core Payments,0.21,11120.4114,0.04768844006788975,False
39,63557.26,19.5,Closed Won,41,APAC,VAS,0.88,55930.3888,-0.06795825393594424,True
40,18076.21,17.0,Closed Won,70,EMEA,Analytics,0.81,14641.7301,0.13964858024676763,False
41,36477.1,17.7,Negotiation,114,EMEA,Risk Solutions,0.52,18968.092,0.09071319896461294,False
42,19771.72,13.0,Qualified,44,EMEA,Analytics,0.26,5140.6472,0.15305736240218393,False
43,30971.95,13.7,Proposal,14,Unknown,Risk Solutions,0.6,18583.17,0.13464398216800277,False
44,14020.81,10.8,Prospecting,84,Unknown,Risk Solutions,0.53,7431.0293,0.16715803263270207,False
45,7902.99,8.5,Closed Won,76,EMEA,Risk Solutions,0.7,5532.093,0.1279215132340289,False
46,7466.2,19.6,Prospecting,36,APAC,Risk Solutions,0.41,3061.142,0.09429798236618225,False
47,27718.99,10.2,Prospecting,40,LATAM,VAS,0.46,12750.7354,0.1641780901210072,False
48,84842.94,9.6,Qualified,100,EMEA,Analytics,0.69,58541.6286,-0.0722213167253426,True
49,25890.9,9.8,Negotiation,41,EMEA,Analytics,0.75,19418.175000000003,0.14822136923792195,False
50,16078.48,21.3,Qualified,45,Unknown,Core Payments,0.37,5949.0376,0.1072903387025288,False
51,69370.11,16.4,Proposal,72,LATAM,Core Payments,0.5,34685.055,0.012103424321746381,False
52,25396.87,10.2,Prospecting,33,EMEA,Risk Solutions,0.78,19809.5586,0.14804356233917404,False
53,23408.64,11.8,Prospecting,45,EMEA,Analytics,0.66,15449.7024,0.1657767075930392,False
54,25630.71,14.6,Prospecting,79,EMEA,VAS,0.31,7945.5201,0.14722305246817802,False
55,20344.66,16.4,Closed Won,105,APAC,Core Payments,0.45,9155.097,0.13902052877769722,False
56,18293.74,3.9,Closed Won,107,LATAM,Analytics,0.71,12988.5554,0.10544722979507454,False
57,9311.65,16.5,Closed Won,48,EMEA,Analytics,0.23,2141.6795,0.09860194395311245,False
58,29761.61,10.9,Negotiation,62,Unknown,Risk Solutions,0.9,26785.449,0.11644033973468926,False
59,20808.87,8.6,Closed Won,43,Unknown,Core Payments,0.76,15814.7412,0.15058050868094747,False
60,45064.57,10.0,Qualified,87,APAC,Analytics,0.45,20279.0565,0.10789697375455926,False
61,17653.85,16.0,Closed Lost,111,Unknown,Risk Solutions,0.26,4590.001,0.09946462162181641,False
62,7017.61,20.8,Prospecting,74,LATAM,VAS,0.82,5754.440199999999,0.06737397590968353,False
63,20748.59,12.7,Qualified,28,LATAM,Core Payments,0.27,5602.1193,0.14818441527227783,False
64,61066.72,14.8,Negotiation,110,APAC,Core Payments,0.65,39693.368,0.00962375413050709,False
65,17499.82,7.9,Closed Won,21,APAC,Risk Solutions,0.8,13999.856,0.1326920979649585,False
66,12914.24,14.5,Negotiation,82,Unknown,Analytics,0.24,3099.4176,0.12704944191231593,False
67,10762.73,16.1,Prospecting,41,Unknown,Risk Solutions,0.83,8933.0659,0.12751113619607524,False
68,11731.0,4.6,Proposal,41,LATAM,VAS,0.21,2463.51,0.07287006336687618,False
69,18395.91,9.4,Closed Lost,7,LATAM,Risk Solutions,0.93,17108.1963,0.08041665677114529,False
70,10850.98,16.0,Closed Won,94,EMEA,Analytics,0.58,6293.568399999999,0.14633368169081973,False
71,54099.68,3.2,Proposal,33,APAC,Core Payments,0.65,35164.792,0.022565873688752847,False
72,18590.74,10.1,Prospecting,115,APAC,Analytics,0.85,15802.129,0.10854198664524572,False
73,23510.19,15.0,Negotiation,117,Unknown,Analytics,0.94,22099.5786,0.06280982847877525,False
74,52205.53,3.5,Closed Lost,47,APAC,Core Payments,0.32,16705.7696,0.05331973654217803,False
75,54284.34,10.0,Closed Lost,24,LATAM,Risk Solutions,0.25,13571.085,0.05720413445589989,False
76,19387.04,12.3,Negotiation,83,Unknown,Analytics,0.86,16672.8544,0.14379816530371853,False
77,26881.26,16.5,Qualified,57,LATAM,Risk Solutions,0.39,10483.6914,0.15483892162810603,False
78,34235.42,5.6,Qualified,63,Unknown,Risk Solutions,0.57,19514.1894,0.12018428333316267,False
79,19619.65,17.5,Qualified,113,LATAM,Risk Solutions,0.8,15695.72,0.09862705022149737,False
80,7579.42,13.5,Prospecting,12,EMEA,Core Payments,0.81,6139.3302,0.0964664158827866,False
81,32624.65,18.0,Negotiation,67,EMEA,Risk Solutions,0.61,19901.0365,0.12878154892966154,False
82,37669.7,17.8,Proposal,32,APAC,Core Payments,0.94,35409.518,0.036133829203528034,False
83,28262.8,13.7,Closed Won,53,APAC,Core Payments,0.91,25719.148,0.11004819059373266,False
84,12655.83,14.4,Prospecting,20,LATAM,VAS,0.37,4682.6571,0.1367966019675042,False
85,19582.34,3.3,Closed Lost,77,Unknown,Risk Solutions,0.87,17036.6358,0.10246713356433701,False
86,15452.69,5.2,Negotiation,20,LATAM,VAS,0.61,9426.1409,0.13016232902429753,False
87,18401.24,7.0,Closed Lost,29,LATAM,Analytics,0.34,6256.421600000001,0.14313628481101293,False
88,47960.41,10.3,Closed Lost,11,EMEA,Core Payments,0.5,23980.205,0.07713042168817019,False
89,55146.46,16.7,Closed Lost,7,Unknown,Risk Solutions,0.46,25367.3716,0.03206860460729,False
90,32913.92,3.1,Prospecting,70,APAC,Analytics,0.85,27976.832,0.0712014337003064,False
91,30615.05,10.4,Prospecting,26,LATAM,Analytics,0.87,26635.0935,0.1191801980779762,False
92,33056.63,5.4,Qualified,28,EMEA,VAS,0.38,12561.5194,0.11849355230965741,False
93,21865.27,4.2,Negotiation,14,EMEA,Core Payments,0.47,10276.6769,0.11981901941723971,False
94,21048.87,19.4,Closed Won,108,EMEA,Analytics,0.22,4630.7514,0.06047081072427207,False
95,14703.09,12.5,Proposal,77,APAC,Risk Solutions,0.22,3234.6798,0.12775907444196927,False
96,21300.37,20.2,Negotiation,9,Unknown,Risk Solutions,0.43,9159.1591,0.09476325884861037,False
97,85474.06,17.9,Negotiation,3,APAC,Risk Solutions,0.29,24787.4774,-0.06979278794926858,True
98,37101.91,7.4,Qualified,110,Unknown,VAS,0.85,31536.6235,0.07314628668929346,False
99,17938.95,2.7,Closed Won,24,LATAM,Core Payments,0.94,16862.613,0.044386033183207774,False
100,16594.79,22.4,Negotiation,58,Unknown,Core Payments,0.44,7301.707600000001,0.10621844295462718,False
101,13112.3,10.0,Closed Lost,43,Unknown,Risk Solutions,0.24,3146.952,0.1275427972975055,False
102,27573.82,6.3,Proposal,17,APAC,Analytics,0.37,10202.3134,0.13165388587584148,False
103,27859.45,15.5,Prospecting,42,EMEA,VAS,0.71,19780.2095,0.15300101586039805,False
104,9266.18,12.7,Closed Won,85,LATAM,Analytics,0.46,4262.442800000001,0.15472387371083057,False
105,29489.84,8.6,Closed Won,67,Unknown,Analytics,0.68,20053.091200000003,0.14818962892777598,False
106,15651.42,10.3,Qualified,76,Unknown,Risk Solutions,0.46,7199.653200000001,0.17028642593199966,False
107,51845.98,12.8,Closed Lost,67,EMEA,VAS,0.47,24367.6106,0.09215360214001134,False
108,24199.96,12.4,Negotiation,109,APAC,Analytics,0.38,9195.9848,0.13920771621204148,False
109,61736.96,15.8,Qualified,63,Unknown,Core Payments,0.84,51859.0464,-0.023337740606412583,True
110,16732.76,10.2,Negotiation,107,Unknown,VAS,0.44,7362.4144,0.14091556970110625,False
111,18531.17,10.3,Closed Won,47,APAC,Risk Solutions,0.25,4632.7925,0.14710487715812004,False
112,26367.44,15.0,Closed Won,95,LATAM,Core Payments,0.71,18720.8824,0.1510914710500013,False
113,41504.99,13.6,Closed Won,61,EMEA,Risk Solutions,0.7,29053.492999999995,0.11343084598306963,False
114,30931.47,17.5,Prospecting,118,APAC,Risk Solutions,0.42,12991.2174,0.10046875537312422,False
115,10507.93,10.8,Closed Won,78,APAC,Risk Solutions,0.86,9036.8198,0.14056224704748776,False
116,24581.28,11.5,Qualified,104,LATAM,VAS,0.23,5653.6944,0.11115506276038772,False
117,22322.42,6.2,Qualified,9,Unknown,Core Payments,0.93,20759.8506,0.06573672963166244,False
118,17027.06,19.5,Closed Lost,95,LATAM,Core Payments,0.6,10216.236,0.12404993369945566,False
119,14930.13,5.0,Closed Lost,47,APAC,Analytics,0.25,3732.5325,0.10922949871250132,False
120,62852.52,13.0,Closed Won,15,EMEA,Risk Solutions,0.45,28283.634,0.03357582443286011,False
121,17426.86,7.5,Qualified,103,Unknown,VAS,0.71,12373.0706,0.1308250881795101,False
122,13259.19,13.7,Qualified,63,LATAM,Core Payments,0.88,11668.0872,0.13683658937257415,False
123,32282.08,15.7,Negotiation,44,EMEA,Analytics,0.62,20014.8896,0.14399181786658954,False
124,23822.21,3.8,Closed Won,80,EMEA,Core Payments,0.84,20010.6564,0.11220448347507467,False
125,21046.97,10.9,Closed Won,108,Unknown,VAS,0.67,14101.469900000002,0.14236245961729332,False
126,35199.29,3.2,Closed Won,74,LATAM,Core Payments,0.4,14079.716,0.10877703801211458,False
127,29530.39,19.0,Prospecting,117,APAC,Core Payments,0.21,6201.381899999999,0.035958170923652166,False
128,27373.04,9.8,Negotiation,73,LATAM,Core Payments,0.64,17518.745600000002,0.15994510266655088,False
129,39281.95,4.1,Closed Won,6,Unknown,Risk Solutions,0.57,22390.7115,0.06056701982675661,False
130,26112.83,8.5,Prospecting,28,APAC,Core Payments,0.55,14362.056500000002,0.15035759376031282,False
131,15212.11,18.6,Prospecting,29,APAC,Analytics,0.25,3803.0275,0.09800144291110996,False
132,17723.22,19.4,Closed Won,21,APAC,Core Payments,0.66,11697.3252,0.11369457864655036,False
133,16113.56,18.4,Qualified,95,EMEA,Analytics,0.89,14341.0684,0.10181376295806643,False
134,24980.06,8.1,Negotiation,41,APAC,VAS,0.71,17735.8426,0.15552948445699144,False
135,11535.78,11.2,Proposal,64,Unknown,VAS,0.28,3230.0184000000004,0.1429355161828484,False
136,7335.97,20.2,Prospecting,53,LATAM,VAS,0.57,4181.5029,0.09939042101269407,False
137,23222.87,8.3,Proposal,13,LATAM,VAS,0.8,18578.296,0.1269299642286954,False
138,9878.22,10.3,Prospecting,72,LATAM,Analytics,0.84,8297.7048,0.13580273592056985,False
139,6828.18,7.2,Prospecting,100,LATAM,Risk Solutions,0.43,2936.1174,0.08211478029584518,False
140,27556.63,6.2,Qualified,70,LATAM,Core Payments,0.56,15431.7128,0.14805428943043586,False
141,14376.76,18.0,Closed Lost,102,APAC,Risk Solutions,0.69,9919.9644,0.12403189153902017,False
142,29663.58,15.2,Closed Lost,116,APAC,Analytics,0.39,11568.7962,0.1217189555909427,False
143,16018.31,14.2,Negotiation,39,LATAM,Core Payments,0.24,3844.3944,0.1306523292560301,False
144,11235.38,14.9,Closed Lost,49,APAC,VAS,0.83,9325.3654,0.13900328948584834,False
145,10445.11,17.1,Prospecting,63,APAC,VAS,0.41,4282.4951,0.14923241853845953,False
146,16172.11,19.6,Qualified,99,LATAM,Core Payments,0.55,8894.660500000002,0.11223748590086602,False
147,18694.23,12.0,Closed Won,62,EMEA,Core Payments,0.64,11964.3072,0.17599135157278084,False
148,13439.1,10.3,Prospecting,15,APAC,Risk Solutions,0.21,2822.211,0.08480812848479896,False
149,18607.78,6.9,Closed Won,92,Unknown,VAS,0.93,17305.2354,0.09467665042365014,False
150,8763.39,17.4,Qualified,41,APAC,Core Payments,0.35,3067.1865,0.11897047079554174,False
151,22218.78,9.4,Closed Lost,50,APAC,Risk Solutions,0.76,16886.2728,0.15463529331812748,False
152,7508.65,4.5,Prospecting,9,LATAM,Core Payments,0.84,6307.266,0.05162403294841422,False
153,19607.87,10.7,Closed Won,80,LATAM,Analytics,0.29,5686.282299999999,0.15585080226535397,False
154,33469.05,12.1,Prospecting,100,Unknown,Risk Solutions,0.71,23763.0255,0.12962228315852503,False
155,42411.01,16.2,Prospecting,87,APAC,Core Payments,0.52,22053.7252,0.11408018376046758,False
156,61613.0,17.0,Negotiation,89,Unknown,Analytics,0.42,25877.46,0.0360251540997909,False
157,8657.9,8.3,Proposal,6,APAC,VAS,0.48,4155.792,0.09756281121586796,False
158,34725.69,8.0,Negotiation,70,EMEA,VAS,0.66,22918.955400000003,0.13195463301693977,False
159,45422.79,10.4,Closed Won,59,APAC,VAS,0.76,34521.320400000004,0.08656428209970829,False
160,39669.35,5.9,Closed Lost,19,EMEA,VAS,0.9,35702.415,0.048498133819878775,False
161,12612.02,11.5,Closed Lost,117,Unknown,Risk Solutions,0.42,5297.0484,0.11623663625951158,False
162,28200.02,14.3,Qualified,95,EMEA,Analytics,0.66,18612.0132,0.150471663325209,False
163,67240.66,12.2,Prospecting,25,APAC,Risk Solutions,0.59,39671.9894,0.0071796780855842846,False
164,8969.95,3.9,Qualified,3,LATAM,Analytics,0.33,2960.0835,0.048031044341831364,False
165,29313.48,6.0,Prospecting,74,EMEA,Analytics,0.48,14070.4704,0.14742478555920158,False
166,42932.07,18.4,Closed Lost,15,LATAM,Analytics,0.28,12020.9796,0.06729597510203011,False
167,14502.05,6.9,Closed Lost,12,EMEA,Core Payments,0.6,8701.23,0.12746287216459307,False
168,31250.24,15.7,Closed Lost,92,LATAM,Core Payments,0.31,9687.5744,0.1306087957618421,False
169,11584.98,15.2,Closed Won,28,APAC,Core Payments,0.42,4865.691599999999,0.14674581670131553,False
170,13530.14,10.4,Prospecting,57,EMEA,VAS,0.66,8929.8924,0.160935275309658,False
171,13490.65,7.0,Closed Won,53,APAC,Analytics,0.26,3507.569,0.11915995691970876,False
172,24720.41,13.1,Closed Won,39,EMEA,Risk Solutions,0.24,5932.8984,0.14474305989716502,False
173,20856.3,7.6,Proposal,61,EMEA,Analytics,0.76,15850.788,0.14758622743872224,False
174,39044.96,11.1,Closed Lost,81,EMEA,Analytics,0.86,33578.6656,0.09157847030447641,False
175,12529.39,12.5,Prospecting,114,EMEA,VAS,0.49,6139.4011,0.12537203264299784,False
176,20358.11,8.4,Prospecting,103,APAC,VAS,0.6,12214.866,0.1374640956783179,False
177,39208.38,10.9,Closed Won,77,EMEA,Risk Solutions,0.4,15683.352,0.14111703838559325,False
178,30836.87,10.5,Closed Won,114,APAC,Core Payments,0.7,21585.809,0.10872426310059619,False
179,9948.88,5.8,Proposal,65,Unknown,Risk Solutions,0.28,2785.6864,0.10479034750702898,False
180,32830.79,11.0,Proposal,58,EMEA,VAS,0.4,13132.316,0.1569376589499134,False
181,16530.28,8.8,Closed Lost,16,EMEA,Core Payments,0.42,6942.717599999999,0.1498601616818756,False
182,27756.68,2.9,Closed Lost,17,APAC,Analytics,0.4,11102.672,0.10392795196976651,False
183,26381.24,10.3,Negotiation,111,EMEA,Core Payments,0.88,23215.4912,0.1075446408380139,False
184,45779.48,10.6,Prospecting,27,APAC,Core Payments,0.89,40743.7372,0.04337877279828484,False
185,23622.05,9.0,Negotiation,96,LATAM,VAS,0.63,14881.8915,0.14992308657781084,False
186,7242.46,1.7,Proposal,119,LATAM,Risk Solutions,0.26,1883.0396,-0.003938502531063315,True
187,9682.58,15.9,Prospecting,48,EMEA,VAS,0.43,4163.5094,0.14541510255995144,False
188,34155.97,15.4,Closed Won,52,EMEA,Core Payments,0.87,29715.6939,0.10960920482837405,False
189,18863.99,15.3,Proposal,66,APAC,Core Payments,0.62,11695.6738,0.1704436913549181,False
190,43598.91,13.6,Prospecting,11,APAC,Core Payments,0.9,39239.01900000001,0.03990046153977356,False
191,25953.54,5.7,Negotiation,106,LATAM,Risk Solutions,0.44,11419.5576,0.1212041487718668,False
192,14052.57,12.6,Prospecting,100,EMEA,VAS,0.68,9555.7476,0.15173681465799577,False
193,42169.14,7.4,Negotiation,38,Unknown,Risk Solutions,0.33,13915.8162,0.10638634703221256,False
194,13569.25,22.9,Proposal,11,LATAM,Core Payments,0.86,11669.555,0.04831862742197557,False
195,6428.0,9.4,Proposal,67,Unknown,Analytics,0.93,5978.04,0.07784677910575288,False
196,75983.94,15.3,Closed Won,3,EMEA,VAS,0.68,51669.07920000001,-0.08199186225679145,True
197,6999.2,4.2,Proposal,51,EMEA,VAS,0.62,4339.504,0.09615522595544002,False
198,32268.53,6.1,Closed Lost,101,Unknown,VAS,0.9,29041.677,0.07271893730242063,False
199,38689.02,9.3,Closed Won,24,Unknown,Core Payments,0.38,14701.8276,0.115366759423634,False
200,24058.4,15.5,Closed Won,83,LATAM,Core Payments,0.86,20690.224,0.13739939367805415,False
201,8022.15,14.7,Prospecting,70,APAC,Risk Solutions,0.26,2085.759,0.11590927860154099,False
202,40498.04,13.4,Proposal,84,LATAM,VAS,0.48,19439.0592,0.13599338760120216,False
203,9274.96,2.7,Prospecting,100,APAC,VAS,0.72,6677.971199999999,0.07461181425647023,False
204,9836.18,17.7,Negotiation,100,LATAM,Analytics,0.78,7672.2204,0.10326158455550533,False
205,17729.74,7.4,Closed Lost,46,Unknown,Core Payments,0.48,8510.2752,0.15986486626149538,False
206,35351.73,20.1,Qualified,10,LATAM,VAS,0.8,28281.384000000005,0.05569386463135617,False
207,26372.27,21.3,Proposal,74,APAC,Risk Solutions,0.66,17405.698200000003,0.10203204525741699,False
208,35827.14,16.1,Closed Lost,28,LATAM,Core Payments,0.57,20421.4698,0.12109724972359553,False
209,16878.8,16.9,Closed Won,76,EMEA,VAS,0.44,7426.672,0.16207209626029262,False
210,19864.51,5.7,Closed Lost,12,EMEA,Risk Solutions,0.67,13309.2217,0.13196054226260523,False
211,11133.55,24.9,Prospecting,20,EMEA,Risk Solutions,0.94,10465.536999999998,0.017042299657044735,False
212,18212.81,13.1,Closed Won,19,EMEA,Analytics,0.76,13841.735600000002,0.14507622402869597,False
213,31441.28,17.0,Negotiation,108,APAC,Risk Solutions,0.26,8174.7328,0.0969003137300346,False
214,18399.95,7.7,Closed Lost,79,Unknown,Risk Solutions,0.32,5887.984,0.1486117486207864,False
215,29298.04,11.7,Proposal,27,LATAM,VAS,0.92,26954.1968,0.09607554070373558,False
216,15615.75,6.1,Proposal,61,Unknown,Analytics,0.41,6402.4575,0.15395050747758465,False
217,15437.66,10.8,Proposal,65,LATAM,VAS,0.93,14357.0238,0.12072663506388193,False
218,22550.24,12.1,Qualified,37,EMEA,Core Payments,0.36,8118.0864,0.16270113677152087,False
219,19595.81,13.3,Closed Won,85,APAC,Core Payments,0.36,7054.4916,0.15983308833075838,False
220,31427.27,19.0,Negotiation,18,APAC,VAS,0.93,29227.3611,0.040728028575837794,False
221,24513.37,14.4,Closed Lost,88,Unknown,VAS,0.7,17159.358999999997,0.1627273176155875,False
222,62580.42,13.2,Closed Won,15,APAC,VAS,0.87,54444.9654,-0.04648923668832772,True
223,19308.55,12.2,Negotiation,91,Unknown,Analytics,0.91,17570.7805,0.12188518869604059,False
224,19218.88,22.1,Proposal,109,EMEA,VAS,0.25,4804.72,0.045986149591034975,False
225,11800.79,9.1,Closed Won,6,EMEA,Core Payments,0.35,4130.2765,0.10410818551446399,False
226,22329.56,17.9,Proposal,38,EMEA,Core Payments,0.31,6922.163600000001,0.13385651262112763,False
227,33179.83,2.2,Negotiation,74,APAC,Core Payments,0.42,13935.5286,0.10225885935076034,False
228,14126.71,7.6,Negotiation,117,Unknown,Analytics,0.34,4803.0814,0.0943493960456257,False
229,21379.69,14.1,Negotiation,82,LATAM,Risk Solutions,0.39,8338.079099999999,0.16829369666455946,False
230,33898.77,11.2,Proposal,65,EMEA,Risk Solutions,0.45,15254.446499999998,0.15906481512040554,False
231,20411.52,27.0,Closed Won,41,Unknown,Risk Solutions,0.31,6327.5712,0.06390480024800771,False
232,16131.31,24.9,Closed Won,109,LATAM,Analytics,0.45,7259.0895,0.07018372546540086,False
233,39492.1,4.4,Closed Won,119,Unknown,Risk Solutions,0.79,31198.759,0.029656363902207383,False
234,23346.72,6.6,Proposal,35,LATAM,VAS,0.72,16809.6384,0.14077954911114482,False
235,27943.47,11.3,Closed Lost,79,EMEA,Analytics,0.26,7265.302200000001,0.14547756211658747,False
236,44481.83,20.7,Negotiation,105,APAC,Core Payments,0.41,18237.5503,0.05498167581820135,False
237,43791.26,17.7,Proposal,12,APAC,VAS,0.48,21019.8048,0.06826003436890926,False
238,17884.28,13.6,Proposal,9,LATAM,Core Payments,0.9,16095.852,0.09748611939471197,False
239,16070.53,4.9,Prospecting,17,EMEA,Analytics,0.56,8999.4968,0.12262658908252733,False
240,26123.36,7.8,Prospecting,44,Unknown,VAS,0.59,15412.7824,0.1539799894907608,False
241,20339.65,-1.4,Qualified,105,LATAM,Core Payments,0.36,7322.274,0.05498473743417576,False
242,7045.07,4.3,Qualified,25,Unknown,Analytics,0.23,1620.3661,0.056271915762292735,False
243,47345.03,14.1,Prospecting,118,EMEA,Risk Solutions,0.55,26039.7665,0.057244483263863,False
244,22283.83,16.0,Proposal,32,APAC,Analytics,0.52,11587.591600000002,0.15429794819091996,False
245,34263.19,5.5,Negotiation,109,Unknown,Analytics,0.85,29123.7115,0.07383946470672809,False
246,10897.08,12.6,Qualified,8,LATAM,Risk Solutions,0.73,7954.868399999999,0.11432058334559503,False
247,47711.23,20.2,Negotiation,28,Unknown,Analytics,0.56,26718.28880000001,0.044779810285578425,False
248,15475.95,12.8,Closed Won,60,Unknown,Analytics,0.22,3404.7090000000003,0.13015282323322902,False
249,20648.54,10.5,Closed Won,24,APAC,Analytics,0.85,17551.259000000002,0.14124708754862225,False
250,9500.93,15.1,Proposal,40,LATAM,Analytics,0.37,3515.3441000000003,0.14089458208617678,False
251,19926.99,14.7,Prospecting,41,EMEA,VAS,0.55,10959.8445,0.17191876155527397,False
252,19189.48,12.4,Closed Lost,35,APAC,Analytics,0.6,11513.688,0.1681027800309292,False
253,19708.07,9.3,Qualified,8,LATAM,Risk Solutions,0.61,12021.9227,0.1382929509565911,False
254,28655.56,9.9,Proposal,107,LATAM,Core Payments,0.66,18912.6696,0.12963075287735848,False
255,22838.6,12.5,Closed Lost,50,LATAM,Risk Solutions,0.85,19412.81,0.1469953713075683,False
256,39555.88,9.3,Negotiation,79,EMEA,Risk Solutions,0.37,14635.6756,0.13426936133821987,False
257,16632.35,18.7,Prospecting,90,EMEA,VAS,0.93,15468.0855,0.08560108604945332,False
258,12117.31,16.5,Closed Lost,53,Unknown,Risk Solutions,0.53,6422.1743,0.15609818254133712,False
259,21775.4,17.5,Closed Lost,70,LATAM,VAS,0.84,18291.336,0.127315876099718,False
260,32113.15,22.2,Closed Lost,51,LATAM,Risk Solutions,0.73,23442.5995,0.07681276938916415,False
261,46480.36,19.9,Prospecting,107,EMEA,Core Payments,0.7,32536.252,0.031853154272281636,False
262,35894.98,19.1,Closed Won,32,APAC,VAS,0.34,12204.293200000002,0.09298550491533214,False
263,7636.81,13.9,Closed Won,103,Unknown,Risk Solutions,0.85,6491.288500000001,0.09347214504332102,False
264,27618.33,11.1,Negotiation,49,APAC,Core Payments,0.27,7456.949100000001,0.1510070253833392,False
265,52903.41,23.5,Prospecting,44,Unknown,VAS,0.44,23277.5004,0.0173997852238974,False
266,22869.19,8.7,Negotiation,29,LATAM,VAS,0.28,6403.3732,0.14494321944217226,False
267,16161.3,8.9,Proposal,95,APAC,Risk Solutions,0.41,6626.132999999999,0.1520167001724994,False
268,26515.81,7.7,Closed Lost,7,EMEA,Analytics,0.84,22273.2804,0.09603706841361159,False
269,16285.9,13.1,Closed Won,23,EMEA,VAS,0.84,13680.156,0.14030525334615296,False
270,32320.85,14.1,Negotiation,63,LATAM,Risk Solutions,0.82,26503.097,0.1279543651880145,False
271,21855.4,17.2,Qualified,72,APAC,Core Payments,0.32,6993.728000000001,0.14476274468220185,False
272,50807.54,10.9,Negotiation,55,APAC,Risk Solutions,0.59,29976.4486,0.07993402182323694,False
273,29723.75,3.4,Qualified,11,LATAM,Analytics,0.69,20509.3875,0.08327498275568013,False
274,14266.5,13.6,Negotiation,3,Unknown,Analytics,0.91,12982.515,0.08226166586217964,False
