id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h
rocket-pool-eth,reth,Rocket Pool ETH,3713.44,1335956913,366433.0,-4.30869
bfusd,bfusd,BFUSD,0.999013,1318833099,9645232.0,0.00461
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),0.9998,1288733000,346326279.0,0.01621
quant-network,qnt,Quant,85.18,1237150383,54764143.0,3.47371
aptos,apt,Aptos,1.6,1218805730,172597170.0,-13.54605
cosmos,atom,Cosmos Hub,2.42,1182682178,65442516.0,-3.92376
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,3415.99,1182286928,775971.0,-4.176
gatechain-token,gt,Gate,10.02,1153965472,4156775.0,-2.70067
kaspa,kas,Kaspa,0.04273252,1144049127,28390915.0,-3.73197
usdd,usdd,USDD,0.999353,1136490041,6853509.0,-0.01566
arbitrum,arb,Arbitrum,0.1932,1125037973,189849379.0,-11.69596
algorand,algo,Algorand,0.120922,1071284091,49160916.0,-6.09406
render-token,render,Render,2.06,1069548641,123710557.0,-5.84467
filecoin,fil,Filecoin,1.38,1019065556,221461406.0,-10.4699
ignition-fbtc,fbtc,Function FBTC,92806.0,1015401225,77172.0,-2.84134
myx-finance,myx,MYX Finance,5.31,1013132680,19130060.0,-0.91208
lombard-staked-btc,lbtc,Lombard Staked BTC,93286.0,1003018991,7031842.0,-2.21471
official-trump,trump,Official Trump,5.0,999719494,293552672.0,-3.70926
